lon,lat,depth,stdv,smag,shiftstd,avstr,avdip,avrke,psdepth,sstr,sdip,nID,pslon,pslat,bzlon,bzlat,centsurf,thickness,alen,blen,clen,ogstr,ogdip,hstdv,vstdv
232.40,44.20,3.40,2.00,0.00,0.00,nan,nan,nan,3.40,359.80,4.35,2324442,232.40,44.20,232.40,44.20,3.00,34.27,100.00,20.00,100.00,11.10,0.00,0.00,2.00
232.60,44.20,3.45,2.00,0.00,0.00,nan,nan,nan,3.45,359.80,4.35,2326442,232.60,44.20,232.60,44.20,3.00,34.92,100.00,20.00,100.00,11.10,0.00,0.00,2.00
232.80,44.20,3.51,2.00,0.00,0.00,nan,nan,nan,3.51,359.80,4.35,2328442,232.80,44.20,232.80,44.20,3.00,34.92,100.00,20.00,100.00,4.75,0.00,0.00,2.00
233.00,44.20,3.60,2.00,0.00,0.00,nan,nan,nan,3.60,359.80,4.35,2330442,233.00,44.20,233.00,44.20,3.00,34.92,100.00,20.00,100.00,4.75,0.00,0.00,2.00
233.20,44.20,3.69,2.92,0.00,0.00,nan,nan,nan,3.69,359.80,4.35,2332442,233.20,44.20,233.20,44.20,5.00,34.92,100.00,20.00,100.00,4.75,0.00,0.00,2.92
233.40,44.20,3.76,2.92,0.00,0.00,nan,nan,nan,3.76,359.80,4.35,2334442,233.40,44.20,233.40,44.20,5.00,34.92,100.00,20.00,100.00,4.75,0.00,0.00,2.92
233.60,44.20,3.82,2.92,0.00,0.00,nan,nan,nan,3.82,359.80,4.35,2336442,233.60,44.20,233.60,44.20,5.00,34.92,100.00,20.00,100.00,4.75,0.00,0.00,2.92
233.80,44.20,3.87,2.92,0.00,0.00,nan,nan,nan,3.87,359.80,4.35,2338442,233.80,44.20,233.80,44.20,4.00,35.04,100.00,20.00,100.00,4.75,0.00,0.00,2.92
234.00,44.20,3.96,2.92,0.00,0.00,nan,nan,nan,3.96,359.80,4.35,2340442,234.00,44.20,234.00,44.20,4.00,35.04,100.00,20.00,100.00,0.22,0.00,0.00,2.92
234.20,44.20,4.04,2.92,0.00,0.00,nan,nan,nan,4.04,0.34,4.69,2342442,234.20,44.20,234.20,44.20,4.00,35.04,100.00,20.00,100.00,0.22,0.00,0.00,2.92
234.40,44.20,4.12,2.92,0.00,0.00,nan,nan,nan,4.12,359.96,5.02,2344442,234.40,44.20,234.40,44.20,4.00,35.09,100.00,20.00,100.00,0.22,0.00,0.00,2.92
234.60,44.20,5.33,7.25,0.00,0.00,nan,nan,nan,5.33,359.96,5.02,2346442,234.60,44.20,234.60,44.20,14.00,35.09,100.00,20.00,100.00,356.37,4.40,0.56,7.22
234.80,44.20,6.96,2.50,0.00,0.00,nan,nan,nan,6.96,359.97,5.90,2348442,234.80,44.20,234.80,44.20,2.50,35.09,100.00,20.00,100.00,355.78,8.13,0.35,2.47
235.00,44.20,8.55,11.25,0.00,0.00,nan,nan,nan,8.55,359.58,7.95,2350442,235.00,44.20,235.00,44.20,11.00,35.09,100.00,20.00,100.00,357.87,8.40,1.64,11.13
235.20,44.20,9.91,10.79,0.00,0.00,nan,nan,nan,9.91,358.55,10.53,2352442,235.20,44.20,235.20,44.20,12.00,35.09,100.00,20.00,100.00,353.83,8.98,1.69,10.66
235.40,44.20,11.77,10.21,0.00,0.00,nan,nan,nan,11.77,356.84,13.32,2354442,235.40,44.20,235.40,44.20,4.00,35.09,100.00,20.00,100.00,354.85,11.11,1.97,10.01
235.60,44.20,16.63,7.76,0.00,0.00,nan,nan,nan,16.63,354.24,15.09,2356442,235.60,44.20,235.60,44.20,8.00,35.09,100.00,20.00,100.00,356.16,11.17,1.50,7.61
235.80,44.20,21.26,6.71,0.00,0.00,nan,nan,nan,21.26,349.91,14.12,2358442,235.80,44.20,235.80,44.20,12.00,35.09,100.00,20.00,100.00,356.95,12.51,1.45,6.55
236.01,44.20,23.97,15.00,7.24,0.55,nan,nan,nan,36.50,341.33,9.98,2360442,236.00,44.20,236.00,44.20,25.50,35.09,100.00,20.00,100.00,353.89,14.61,3.78,14.51
236.21,44.21,34.48,17.97,11.16,0.85,nan,nan,nan,43.27,324.44,5.35,2362442,236.20,44.20,236.20,44.20,33.00,35.09,100.00,20.00,100.00,352.76,14.94,4.63,17.36
236.40,44.20,21.22,15.49,0.00,0.00,nan,nan,nan,21.22,328.82,3.65,2364442,236.40,44.20,236.40,44.20,10.00,35.09,100.00,20.00,100.00,1.21,16.40,4.37,14.86
232.20,44.40,3.37,2.00,0.00,0.00,nan,nan,nan,3.37,359.80,4.35,2322444,232.20,44.40,232.20,44.40,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
232.40,44.40,3.42,2.00,0.00,0.00,nan,nan,nan,3.42,359.80,4.35,2324444,232.40,44.40,232.40,44.40,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
232.60,44.40,3.47,2.00,0.00,0.00,nan,nan,nan,3.47,359.80,4.35,2326444,232.60,44.40,232.60,44.40,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
232.80,44.40,3.54,2.00,0.00,0.00,nan,nan,nan,3.54,359.80,4.35,2328444,232.80,44.40,232.80,44.40,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
233.00,44.40,3.62,2.00,0.00,0.00,nan,nan,nan,3.62,359.80,4.35,2330444,233.00,44.40,233.00,44.40,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
233.20,44.40,3.72,2.92,0.00,0.00,nan,nan,nan,3.72,358.38,5.02,2332444,233.20,44.40,233.20,44.40,5.00,35.02,100.00,20.00,100.00,0.46,0.00,0.00,2.92
233.40,44.40,3.80,2.92,0.00,0.00,nan,nan,nan,3.80,358.38,5.02,2334444,233.40,44.40,233.40,44.40,5.00,35.02,100.00,20.00,100.00,0.46,0.00,0.00,2.92
233.60,44.40,3.85,2.92,0.00,0.00,nan,nan,nan,3.85,358.38,5.02,2336444,233.60,44.40,233.60,44.40,5.00,35.02,100.00,20.00,100.00,0.46,0.00,0.00,2.92
233.80,44.40,3.90,2.58,0.00,0.00,nan,nan,nan,3.90,358.77,5.12,2338444,233.80,44.40,233.80,44.40,4.00,35.05,100.00,20.00,100.00,0.46,0.00,0.00,2.58
234.00,44.40,3.98,2.92,0.00,0.00,nan,nan,nan,3.98,358.77,5.12,2340444,234.00,44.40,234.00,44.40,4.00,35.05,100.00,20.00,100.00,0.46,0.00,0.00,2.92
234.20,44.40,4.05,2.92,0.00,0.00,nan,nan,nan,4.05,358.77,5.12,2342444,234.20,44.40,234.20,44.40,4.00,35.05,100.00,20.00,100.00,0.46,0.00,0.00,2.92
234.40,44.40,4.14,2.92,0.00,0.00,nan,nan,nan,4.14,358.77,5.12,2344444,234.40,44.40,234.40,44.40,4.00,35.05,100.00,20.00,100.00,0.46,0.00,0.00,2.92
234.60,44.40,5.44,7.26,0.00,0.00,nan,nan,nan,5.44,358.77,5.12,2346444,234.60,44.40,234.60,44.40,14.00,35.05,100.00,20.00,100.00,0.01,4.73,0.60,7.23
234.80,44.40,6.96,2.50,0.00,0.00,nan,nan,nan,6.96,358.29,6.05,2348444,234.80,44.40,234.80,44.40,2.50,35.05,100.00,20.00,100.00,353.74,7.73,0.34,2.48
235.00,44.40,8.72,11.25,0.00,0.00,nan,nan,nan,8.72,357.14,8.28,2350444,235.00,44.40,235.00,44.40,11.00,35.05,100.00,20.00,100.00,355.06,9.55,1.87,11.09
235.20,44.40,10.15,10.33,0.00,0.00,nan,nan,nan,10.15,356.06,11.10,2352444,235.20,44.40,235.20,44.40,12.00,35.05,100.00,20.00,100.00,354.90,9.06,1.63,10.20
235.40,44.40,11.96,9.64,0.00,0.00,nan,nan,nan,11.96,355.10,14.17,2354444,235.40,44.40,235.40,44.40,4.00,35.05,100.00,20.00,100.00,359.08,9.66,1.62,9.51
235.60,44.40,16.92,7.28,0.00,0.00,nan,nan,nan,16.92,353.85,16.16,2356444,235.60,44.40,235.60,44.40,8.00,35.05,100.00,20.00,100.00,356.31,11.48,1.45,7.13
235.80,44.40,21.52,6.71,0.00,0.00,nan,nan,nan,21.52,351.36,15.08,2358444,235.80,44.40,235.80,44.40,12.00,35.05,100.00,20.00,100.00,355.90,13.97,1.62,6.51
236.02,44.40,24.17,13.60,11.15,0.85,nan,nan,nan,43.28,345.23,10.17,2360444,236.00,44.40,236.00,44.40,32.00,35.05,100.00,20.00,100.00,359.49,14.24,3.35,13.18
236.22,44.41,35.09,25.18,23.14,1.77,nan,nan,nan,44.02,325.83,4.21,2362444,236.20,44.40,236.20,44.40,34.00,35.05,100.00,20.00,100.00,2.32,13.27,5.78,24.51
236.40,44.40,21.13,20.46,0.00,0.00,nan,nan,nan,21.13,300.15,1.47,2364444,236.40,44.40,236.40,44.40,10.00,35.05,100.00,20.00,100.00,358.25,16.34,5.75,19.63
232.20,44.60,3.39,2.00,0.00,0.00,nan,nan,nan,3.39,358.38,5.02,2322446,232.20,44.60,232.20,44.60,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
232.40,44.60,3.44,2.00,0.00,0.00,nan,nan,nan,3.44,358.38,5.02,2324446,232.40,44.60,232.40,44.60,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
232.60,44.60,3.49,2.00,0.00,0.00,nan,nan,nan,3.49,358.38,5.02,2326446,232.60,44.60,232.60,44.60,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
232.80,44.60,3.56,2.00,0.00,0.00,nan,nan,nan,3.56,358.38,5.02,2328446,232.80,44.60,232.80,44.60,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
233.00,44.60,3.64,2.00,0.00,0.00,nan,nan,nan,3.64,358.38,5.02,2330446,233.00,44.60,233.00,44.60,3.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.00
233.20,44.60,3.74,2.92,0.00,0.00,nan,nan,nan,3.74,358.38,5.02,2332446,233.20,44.60,233.20,44.60,5.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.92
233.40,44.60,3.82,2.92,0.00,0.00,nan,nan,nan,3.82,358.38,5.02,2334446,233.40,44.60,233.40,44.60,5.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.92
233.60,44.60,3.87,2.92,0.00,0.00,nan,nan,nan,3.87,358.38,5.02,2336446,233.60,44.60,233.60,44.60,5.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.92
233.80,44.60,3.92,2.58,0.00,0.00,nan,nan,nan,3.92,358.38,5.02,2338446,233.80,44.60,233.80,44.60,4.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.58
234.00,44.60,4.00,2.92,0.00,0.00,nan,nan,nan,4.00,358.38,5.02,2340446,234.00,44.60,234.00,44.60,4.00,35.02,100.00,20.00,100.00,359.22,0.00,0.00,2.92
